REGION_CODE,REGION_DESC
10a,Durban
10b,Midlands
11a,Free State / Lesotho
11b,Ermelo / Piet Retief
1a,Pretoria Central
1b,Pretoria North/South/West
1c,Pretoria East
1d,Pretoria
1e,Witbank/Middelburg
2a,Vaal Triangle
2b,Krugersdorp / Sun City
2c,Potch / Krugersdorp / Kuruman
2d,Rustenburg
3a,Soweto/Lenasia
3b,Johannesburg CBD
4a,Pietersburg / Potgietersrus
4b,Nelspruit / Tzaneen
5a,Botswana and Exports
6a,East Cape
6b,West Cape
7a,Gauteng N - Sandton
7b,Gauteng N - Randburg/Rivonia
7c,Gauteng N - Eastgate/Norwood/Midrand
8a,Gauteng E - Alberton/Benoni/Kempton
