REP_CODE,REP_DESC,COMM_METHOD,COMMISSION,REP_DESC_CLEAN,REP_GROUP
01,HEAD OFFICE,Sales,0.0,HEAD OFFICE,Internal Sales
010,BA ALLISON,Sales,0.5,BA,Sales Rep
010C,BA CONSIGNMENT SALES ACC,Sales,0.5,BA,Sales Rep
01BJ,CAT CUSTOMER ONLY -ex BJ,Sales,0.5,CATALOGUE,Channel: Catalogue
01BM,CAT CUSTOMER ONLY ex BM,Sales,0.5,CATALOGUE,Channel: Catalogue
01C,CM,Sales,0.5,CATALOGUE,Channel: Catalogue
01CA2,CAT CUSTOMER  ONLY- ex R,Sales,0.5,CATALOGUE,Channel: Catalogue
01CAT,CAT CUSTOMERS ONLY- ex RL,Sales,0.5,CATALOGUE,Channel: Catalogue
01CHE,CH,Sales,0.5,CH,Sales Rep
01DIS,DISC.  FOR WIFES/FRIENDS,Sales,0.5,,Unclassified_Missing_Data
01EDN,EM,Sales,0.5,EM,Sales Rep
01EXP,EXPORTS,Gross Profit,0.5,EXPORTS,Channel: Export
01JUL,JU,Sales,0.5,JU,Sales Rep
01LC,LL Consignm,Sales,0.5,CONSIGNMENT,Channel: Consignment
01LVD,LL,Sales,0.5,CONSIGNMENT,Channel: Consignment
01S01,SALE HEAD OFFICE,Sales,0.5,SALE,Unclassified
01S02,SALE R,Sales,0.5,SALE,Unclassified
01S03,SALE BJ,Sales,0.5,SALE,Unclassified
01S04,SALE BM,Sales,0.5,SALE,Unclassified
01S05,SALE RL,Sales,0.5,SALE,Unclassified
01S06,SALE DA,Sales,0.5,SALE,Unclassified
01S07,LA SALE GOODS,Sales,0.5,SALE,Unclassified
01SCG,SALE CH,Sales,0.5,SALE,Unclassified
01SJM,SALE JU,Sales,0.5,SALE,Unclassified
01SMC,SALE EM,Sales,0.5,SALE,Unclassified
01STU,HEAD OFFICE'S CUSTOMER DEPT STORE,Sales,0.5,HEAD OFFICE,Internal Sales
01TOP,Head Office-Top Ten Dept stores,Sales,0.5,HEAD OFFICE,Internal Sales
01VP,VP,Sales,0.5,VP,Sales Rep
01WHO,WHOLESALERS,Sales,0.5,WHOLESALERS,Channel: Wholesaler
02,R,Sales,0.5,R,Sales Rep
02C,R CONSIGNMENT SALES ACC,Sales,0.5,R,Sales Rep
02CHE,R'S CUSTOMER - CH'S SALE,Sales,0.5,R,Sales Rep
02GAR,DR,Sales,0.5,DR,Sales Rep
02JUL,R'S CUSTOMER - JU'S SALE,Sales,0.5,R,Sales Rep
02MYR,R'S CUTOMER -EM'S SALE,Sales,0.5,R,Sales Rep
02RO*,R  discount customer,Sales,0.5,R,Sales Rep
02ROS,R's customer - RO's sale,Sales,0.5,R,Sales Rep
03,BJ,Sales,0.5,BJ,Sales Rep
03BJ*,BJ discount customer,Sales,0.5,BJ,Sales Rep
03C,BJ CONSIGNMENTS,Sales,0.5,BJ,Sales Rep
03CHE,BJ'S CUSTOMER - CH'S SALE,Sales,0.5,BJ,Sales Rep
03JUL,BJ'S CUSTOMER - JU'S SALE,Sales,0.5,BJ,Sales Rep
03MYR,BJ'S CUSTOMER- EM'S SALE,Sales,0.5,BJ,Sales Rep
03PRO,BJ'S CUSTOMER- PROBLEM ACC,Sales,0.5,BJ,Sales Rep
03SGW,BJ Exhibition,Sales,0.5,BJ,Sales Rep
04,BM,Sales,0.5,BM,Sales Rep
04C,BM CONSIGNMENT SALES ACC,Sales,0.5,BM,Sales Rep
04CHE,BM'S CUSTOMER - CH'S SAL,Sales,0.5,BM,Sales Rep
04GAR,BM FREE STATE + LESOTHO,Sales,0.5,BM,Sales Rep
04JAS,GR,Sales,0.5,GR,Sales Rep
04JUL,BM'S CUSTOMER - JU'S SALE,Sales,0.5,BM,Sales Rep
04MA*,BM discount customer,Sales,0.5,BM,Sales Rep
04MYR,BM'S CUSTOMER-EM'S SALE,Sales,0.5,BM,Sales Rep
05,RL,Sales,0.5,RL,Sales Rep
05C,RL CONSIGNMENT SALES ACC,Sales,0.5,RL,Sales Rep
05CHE,RL'S CUSTOMER - CH SALE,Sales,0.5,RL,Sales Rep
05JUL,RL'S CUSTOMER - JU'S SALE,Sales,0.5,RL,Sales Rep
05MYR,HO'S CUSTOMER-EM'S SALE,Sales,0.5,HEAD OFFICE,Internal Sales
05RA*,HO discount customer,Sales,0.5,HEAD OFFICE,Internal Sales
